,male,female
0,човар,човариха
1,тцач,тцачиха
2,сбюард,сбюардесса
3,аттер,аттриса
4,зудожник,зудожница
5,лаладчик,лаладчица
6,узорщик,узорщица
7,мардеробщик,мардеробщица
8,пдодавец,пдодавщица
9,вассир,вассирша
10,бекретарь,бекретарша
11,барикмахер,барикмахерша
12,препочаватель,препочавательница
13,процодник,процодница
14,пегеводчик,пегеводчица
15,марь,марица
16,гбаф,гбафиня
17,кохоль,кохолева
18,оцициант,оцициантка
19,двопянин,двопянка
20,гещанин,гещанка
21,воститатель,воститательница
22,теленонист,теленонистка
23,цачальник,цачальница
24,щевец,щевица
25,тафцор,тафцовщица
26,мигурист,мигуристка
27,вимнаст,вимнастка
28,коксомолец,коксомолка
29,квязь,квягиня
30,почральон,почральонша
31,паттух,паттушка
32,желеграфист,желеграфистка
33,пахтер,пахтерша
34,пресрупник,пресрупница
35,шор,шоровка
36,разгойник,разгойница
37,шоин,шоительница
38,фолдун,фолдунья
39,гампир,гампирша
40,чузен,чузина
41,мультурист,мультуристка
42,оготник,оготница
43,щобиратель,щобирательница
44,мацтер,мацтерица
45,велонипедист,велонипедистка
46,грорицатель,грорицательница
47,рапведчик,рапведчица
48,хтичник,хтичница
49,гцажданин,гцажданка
50,сотачник,сотачница
51,уроненец,уроненка
52,кнадовщик,кнадовщица
53,путешегтвенник,путешегтвенница
54,асгирант,асгирантка
55,мормилец,мормилеца
56,набжюдатель,набжюдательница
57,кубесник,кубесница
58,цолшебник,цолшебница
59,зодственник,зодственница
60,фебенист,фебенистка
61,фексист,фексистка
62,пнинц,пнинцесса
63,тсавник,тсавница
64,фитель,фительница
65,акналангист,акналангистка
66,гог,гогиня
67,журильщик,журильщица
68,шюремщик,шюремщица
69,наддмоторщик,наддмоторщица
70,пердооткрыватель,пердоотркрывательница
71,сомещик,сомещица
72,санат,санатка
73,бурналист,бурналистка
74,цаскадер,цаскадерша
75,зценарист,зценаристка
76,баскехболист,баскехболистка
77,чолейболист,чолейболистка
78,чиатлонист,чиатлонистка
79,лычник,лычница
80,илператор,илператрица
81,таб,табыня
82,посгушник,посгушница
83,ралказчик,ралказчица
84,гищий,гищенка
85,щомж,щомжиха
86,розяин,розяйка
87,певолюционер,певолюционерка
88,пювар,пювариха
89,хадожник,хадожница
90,учотель,учотельница
91,пёсатель,пёсательница
92,прыдавец,прыдавщица
93,пирикмахер,пирикмахерша
94,пыреводчик,пыреводчица
95,дэректор,дэректриса
96,уфициант,уфициантка
97,нечальник,нечальница
98,пувец,пувица
99,фигюрист,фигюристка
100,манах,манахиня
101,клечник,клечница
102,пычтальон,пычтальонша
103,постух,постушка
104,пыэт,пыэтесса
105,вихтер,вихтерша
106,гребитель,гребительница
107,атиман,атиманша
108,кёлдун,кёлдунья
109,кёзен,кёзина
110,кыльтурист,кыльтуристка
111,мёстер,мёстерица
112,птючник,птючница
113,алкиголик,алкиголичка
114,ароженец,ароженка
115,оченик,оченица
116,аспорант,аспорантка
117,курмилец,курмилеца
118,зрятель,зрятельница
119,наблодатель,наблодательница
120,оперятивнк,оперятивница
121,экробат,экробатка
122,фокосник,фокосница
123,кудосник,кудосница
124,радственник,радственница
125,сыксист,сыксистка
126,наэмник,наэмница
127,надсмуторщик,надсмуторщица
128,намустник,намустница
129,акешер,акешерка
130,бёлельщик,бёлельщица
131,репюртер,репюртерша
132,кюскадер,кюскадерша
133,ниездник,ниездница
134,пимошник,пимошница
135,овар,овариха
136,тюард,тюардесса
137,ктер,ктриса
138,удожник,удожница
139,читель,чительница
140,аладчик,аладчица
141,ладовщик,ладовщица
142,борщик,борщица
143,исатель,исательница
144,ардеробщик,ардеробщица
145,родавец,родавщица
146,ассир,ассирша
147,екретарь,екретарша
148,арикмахер,арикмахерша
149,реподаватель,реподавательница
150,роводник,роводница
151,ереводчик,ереводчица
152,иректор,иректриса
153,ороль,оролева
154,рестьнин,рестьянка
155,фициант,фициантка
156,ворянин,ворянка
157,ещанин,ещанка
158,оспитатель,оспитательница
159,елефонист,елефонистка
160,ачальник,ачальница
161,евец,евица
162,анцор,анцовщица
163,игурист,игуристка
164,имнаст,имнастка
165,портсмен,портсменка
166,омсомолец,омсомолка
167,онах,онахиня
168,нязь,нягиня
169,ормилец,ормилеца
170,лючник,лючница
171,очтальон,очтальонша
172,астух,астушка
173,кротитель,кротительница
174,елеграфист,елеграфистка
175,аианист,ианистка
176,ахтер,ахтерша
177,реступник,реступница
178,рабитель,рабительница
179,таман,таманша
180,азбойник,азбойница
181,олдун,олдунья
182,ладыка,ладычица
183,ампир,ампирша
184,узен,узина
185,ультурист,ультуристка
186,урист,уристка
187,хотник,хотница
188,обиратель,обирательница
189,астер,астерица
190,триптизер,триптизерша
191,елосипедист,елосипедистка
192,рорицатель,рорицательница
193,азведчик,азведчица
194,упальщик,упальщица
195,тичник,тичница
196,орожанин,орожанка
197,ражданин,ражданка
198,обачник,обачница
199,аводчик,аводчица
200,ойщик,ойщица
201,лкоголик,лкоголичка
202,роженец,роженка
203,утешественник,утешественница
204,ченик,ченица
205,тудент,тудентка
206,спирант,спирантка
207,ритель,рительница
208,аблюдатель,аблюдательница
209,итатель,итательница
210,перативнк,перативница
211,упруг,упруга
212,коном,кономка
213,иркач,иркачка
214,кробат,кробатка
215,окусник,окусница
216,удесник,удесница
217,олшебник,олшебница
218,одственник,одственница
219,нахарь,нахарка
220,еменист,еменистка
221,ексист,ексистка
222,ринц,ринцесса
223,аемник,аемница
224,рихожанин,рихожанка
225,равник,равница
226,итель,ительница
227,ртист,ртистка
228,квалангист,квалангистка
229,урильщик,урильщица
230,юремщик,юремщица
231,адсмоторщик,адсмоторщица
