,male,female
0,човар,човариха
1,тцач,тцачиха
2,абтер,абтриса
3,художтик,художтица
4,лладовщик,лладовщица
5,мродавец,мродавщица
6,секрефарь,секрефарша
7,парибмахер,парибмахерша
8,бреподаватель,бреподавательница
9,провочник,провочница
10,тереводчик,тереводчица
11,марь,марица
12,гбаф,гбафиня
13,кцестьнин,кцестьянка
14,вонпитатель,вонпитательница
15,целефонист,целефонистка
16,начащьник,начащьница
17,пефец,пефица
18,коксомолец,коксомолка
19,кгязь,кгягиня
20,клюжник,клюжница
21,поцтальон,поцтальонша
22,паслух,паслушка
23,укроритель,укрорительница
24,телезрафист,телезрафистка
25,шаианист,шианистка
26,гоэт,гоэтесса
27,пресфупник,пресфупница
28,чор,чоровка
29,атачан,атачанша
30,молдун,молдунья
31,вгадыка,вгадычица
32,щампир,щампирша
33,куцен,куцина
34,тушист,тушистка
35,гобиратель,гобирательница
36,маптер,маптерица
37,хтриптизер,хтриптизерша
38,прорицатець,прорицатецьница
39,ратведчик,ратведчица
40,загодчик,загодчица
41,мойгик,мойгица
42,алжоголик,алжоголичка
43,уроменец,уроменка
44,путешественжик,путешественжица
45,укеник,укеница
46,асрирант,асрирантка
47,рормилец,рормилеца
48,набсюдатель,набсюдательница
49,цитатель,цитательница
50,супжуг,супжуга
51,цирфач,цирфачка
52,нудесник,нудесница
53,волнебник,волнебница
54,фодственник,фодственница
55,бнахарь,бнахарка
56,неменист,неменистка
57,гексист,гексистка
58,жринц,жринцесса
59,шаемник,шаемница
60,придожанин,придожанка
61,традник,традница
62,жог,жогиня
63,бюремщик,бюремщица
64,цервооткрыватель,цервоотркрывательница
65,намезтник,намезтница
66,губердатор,губердаторша
67,чомещик,чомещица
68,атушер,атушерка
69,чанитар,чанитарка
70,фачат,фачатка
71,журнакист,журнакистка
72,гценарист,гценаристка
73,фучболист,фучболистка
74,баспетболист,баспетболистка
75,тенщисист,тенщисистка
76,плорец,плорчиха
77,риатлонист,риатлонистка
78,пыжник,пыжница
79,госучарь,госучарыня
80,наб,набыня
81,посбушник,посбушница
82,богж,богжиха
83,революциовер,революциоверка
84,ткыч,ткычиха
85,уборщэк,уборщэца
86,пысатель,пысательница
87,кэссир,кэссирша
88,цэрь,цэрица
89,груф,груфиня
90,кероль,керолева
91,мещюнин,мещюнка
92,воспотатель,воспотательница
93,кымсомолец,кымсомолка
94,ключнэк,ключнэца
95,почтэльон,почтэльонша
96,поет,поетесса
97,вёр,вёровка
98,рызбойник,рызбойница
99,вампер,вамперша
100,мастар,мастарица
101,стрюптизер,стрюптизерша
102,купюльщик,купюльщица
103,птичнек,птичнеца
104,муйщик,муйщица
105,урожонец,урожонка
106,клодовщик,клодовщица
107,стадент,стадентка
108,эспирант,эспирантка
109,читотель,читотельница
110,супрог,супрога
111,акрабат,акрабатка
112,фыкусник,фыкусница
113,прихыжанин,прихыжанка
114,жятель,жятельница
115,аквалунгист,аквалунгистка
116,курульщик,курульщица
117,нёместник,нёместница
118,губернятор,губерняторша
119,икушер,икушерка
120,рюпортер,рюпортерша
121,сценарест,сценарестка
122,баскётболист,баскётболистка
123,теннусист,теннусистка
124,биитлонист,биитлонистка
125,гисударь,гисударыня
126,росказчик,росказчица
127,нэщий,нэщенка
128,бимж,бимжиха
129,помешник,помешница
130,хозэин,хозэйка
131,революцаонер,революцаонерка
132,партизян,партизянка
133,овар,овариха
134,тюард,тюардесса
135,ктер,ктриса
136,удожник,удожница
137,читель,чительница
138,аладчик,аладчица
139,ладовщик,ладовщица
140,борщик,борщица
141,исатель,исательница
142,ардеробщик,ардеробщица
143,родавец,родавщица
144,ассир,ассирша
145,екретарь,екретарша
146,арикмахер,арикмахерша
147,реподаватель,реподавательница
148,роводник,роводница
149,ереводчик,ереводчица
150,иректор,иректриса
151,ороль,оролева
152,рестьнин,рестьянка
153,фициант,фициантка
154,ворянин,ворянка
155,ещанин,ещанка
156,оспитатель,оспитательница
157,елефонист,елефонистка
158,ачальник,ачальница
159,евец,евица
160,анцор,анцовщица
161,игурист,игуристка
162,имнаст,имнастка
163,портсмен,портсменка
164,омсомолец,омсомолка
165,онах,онахиня
166,нязь,нягиня
167,ормилец,ормилеца
168,лючник,лючница
169,очтальон,очтальонша
170,астух,астушка
171,кротитель,кротительница
172,елеграфист,елеграфистка
173,аианист,ианистка
174,ахтер,ахтерша
175,реступник,реступница
176,рабитель,рабительница
177,таман,таманша
178,азбойник,азбойница
179,олдун,олдунья
180,ладыка,ладычица
181,ампир,ампирша
182,узен,узина
183,ультурист,ультуристка
184,урист,уристка
185,хотник,хотница
186,обиратель,обирательница
187,астер,астерица
188,триптизер,триптизерша
189,елосипедист,елосипедистка
190,рорицатель,рорицательница
191,азведчик,азведчица
192,упальщик,упальщица
193,тичник,тичница
194,орожанин,орожанка
195,ражданин,ражданка
196,обачник,обачница
197,аводчик,аводчица
198,ойщик,ойщица
199,лкоголик,лкоголичка
200,роженец,роженка
201,утешественник,утешественница
202,ченик,ченица
203,тудент,тудентка
204,спирант,спирантка
205,ритель,рительница
206,аблюдатель,аблюдательница
207,итатель,итательница
208,перативнк,перативница
209,упруг,упруга
210,коном,кономка
211,иркач,иркачка
212,кробат,кробатка
213,окусник,окусница
214,удесник,удесница
215,олшебник,олшебница
216,одственник,одственница
217,нахарь,нахарка
218,еменист,еменистка
219,ексист,ексистка
220,ринц,ринцесса
221,аемник,аемница
222,рихожанин,рихожанка
223,равник,равница
224,итель,ительница
225,ртист,ртистка
226,квалангист,квалангистка
227,урильщик,урильщица
228,юремщик,юремщица
229,адсмоторщик,адсмоторщица
230,ервооткрыватель,ервоотркрывательница
231,аместник,аместница
232,убернатор,убернаторша
